Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_53	291	1	1	NA	230	2.48
###Unknown	All_elements	NA	1	1	NA	230	2.4814

######Type:Unknown	All_elements	NA	1	1	NA	230	2.4814

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	230	2.4814

######Type:Simple_repeat	All_elements	NA	NA	4	NA	119	1.2838

