Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

LINE/R1	ET_2	2292	1	0	NA	0	0.00
###LINE/R1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	3	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	3	0	0	0	0.0000

######Type:LTR	All_elements	NA	3	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	5	0	NA	0	0.0000

######Type:Simple_repeat	All_elements	NA	NA	2	NA	78	0.5678

