Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	105	0.15
###DNA/CACTA	All_elements	NA	1	1	NA	105	0.1463

######Type:DNA	All_elements	NA	1	1	NA	105	0.1463

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	105	0.1463

######Type:Low_complexity	All_elements	NA	NA	2	NA	72	0.1003

######Type:Simple_repeat	All_elements	NA	NA	6	NA	215	0.2995

