Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Crypton	ET_27	913	1	1	NA	296	1.79
###DNA/Crypton	All_elements	NA	1	1	NA	296	1.7853

######Type:DNA	All_elements	NA	1	1	NA	296	1.7853

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	296	1.7853

######Type:Simple_repeat	All_elements	NA	NA	10	NA	425	2.5633

