Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_49	429	1	1	NA	424	6.90
###Unknown	All_elements	NA	1	1	NA	424	6.9022

######Type:Unknown	All_elements	NA	1	1	NA	424	6.9022

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	424	6.9022

######Type:Simple_repeat	All_elements	NA	NA	2	NA	121	1.9697

