Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Helitron	ET_28	168	1	1	NA	168	0.18
DNA/Helitron	ET_30	396	1	0	NA	0	0.00
###DNA/Helitron	All_elements	NA	2	1	NA	168	0.1760

DNA/Helitron_1	ET_42	600	1	0	NA	0	0.00
###DNA/Helitron_1	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	3	1	NA	168	0.1760

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	1	NA	168	0.1760

######Type:Low_complexity	All_elements	NA	NA	2	NA	89	0.0932

######Type:Simple_repeat	All_elements	NA	NA	10	NA	485	0.5081

