Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/hAT	ET_25	425	1	1	NA	425	0.77
###DNA/hAT	All_elements	NA	1	1	NA	425	0.7717

######Type:DNA	All_elements	NA	1	1	NA	425	0.7717

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	425	0.7717

######Type:Simple_repeat	All_elements	NA	NA	9	NA	465	0.8443

