Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/hAT	ET_25	425	1	1	NA	416	1.16
###DNA/hAT	All_elements	NA	1	1	NA	416	1.1599

######Type:DNA	All_elements	NA	1	1	NA	416	1.1599

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	416	1.1599

######Type:Simple_repeat	All_elements	NA	NA	3	NA	87	0.2426

