Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Crypton	ET_27	913	1	1	NA	116	1.02
###DNA/Crypton	All_elements	NA	1	1	NA	116	1.0158

######Type:DNA	All_elements	NA	1	1	NA	116	1.0158

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	116	1.0158

######Type:Low_complexity	All_elements	NA	NA	3	NA	210	1.8389

