Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R1	ET_26	542	1	1	NA	349	0.31
###LINE/R1	All_elements	NA	1	1	NA	349	0.3120

######Type:LINE	All_elements	NA	1	1	NA	349	0.3120

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	1	1	0	89	0.08
###LTR/Gypsy	All_elements	NA	1	1	0	89	0.0796

######Type:LTR	All_elements	NA	1	1	0	89	0.0796

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	2	NA	438	0.3916

######Type:Low_complexity	All_elements	NA	NA	1	NA	51	0.0456

######Type:Simple_repeat	All_elements	NA	NA	4	NA	154	0.1377

