Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R1	ET_26	542	1	1	NA	538	2.19
###LINE/R1	All_elements	NA	1	1	NA	538	2.1865

######Type:LINE	All_elements	NA	1	1	NA	538	2.1865

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	538	2.1865

######Type:Simple_repeat	All_elements	NA	NA	1	NA	32	0.1301

