Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	3	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	3	0	NA	0	0.0000

######Type:DNA	All_elements	NA	3	0	NA	0	0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	1	NA	32	0.1653

######Type:Simple_repeat	All_elements	NA	NA	2	NA	130	0.6716

