Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_48	339	4	0	NA	0	0.00
Unknown	ET_52	291	3	0	NA	0	0.00
###Unknown	All_elements	NA	7	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	7	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	7	0	NA	0	0.0000

######Type:Simple_repeat	All_elements	NA	NA	3	NA	124	0.3081

