Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	1	NA	478	6.78
###LINE/L1	All_elements	NA	1	1	NA	478	6.7773

######Type:LINE	All_elements	NA	1	1	NA	478	6.7773

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	478	6.7773

######Type:Low_complexity	All_elements	NA	NA	2	NA	71	1.0067

######Type:Simple_repeat	All_elements	NA	NA	1	NA	145	2.0559

