Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	1	1	NA	100	0.07
###DNA/TC1	All_elements	NA	1	1	NA	100	0.0698

######Type:DNA	All_elements	NA	1	1	NA	100	0.0698

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_52	291	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	100	0.0698

######Type:Low_complexity	All_elements	NA	NA	3	NA	152	0.1061

######Type:Simple_repeat	All_elements	NA	NA	47	NA	2254	1.5728

