Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	1	1	NA	506	5.73
###DNA/TC1	All_elements	NA	1	1	NA	506	5.7253

######Type:DNA	All_elements	NA	1	1	NA	506	5.7253

LINE/L1	ET_4	2098	1	1	NA	396	4.48
###LINE/L1	All_elements	NA	1	1	NA	396	4.4807

######Type:LINE	All_elements	NA	1	1	NA	396	4.4807

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	2	NA	902	10.2059

######Type:Simple_repeat	All_elements	NA	NA	1	NA	80	0.9052

