Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	98	0.22
###DNA/CACTA	All_elements	NA	1	1	NA	98	0.2193

######Type:DNA	All_elements	NA	1	1	NA	98	0.2193

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23		1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	1	0	0	0	0.0000

######Type:LTR	All_elements	NA	1	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	98	0.2193

######Type:Low_complexity	All_elements	NA	NA	3	NA	134	0.2999

######Type:Simple_repeat	All_elements	NA	NA	6	NA	353	0.7899

