Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Tc1	ET_1	1480	1	1	NA	1480	7.52
###DNA/Tc1	All_elements	NA	1	1	NA	1480	7.5192

######Type:DNA	All_elements	NA	1	1	NA	1480	7.5192

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	1480	7.5192

######Type:Low_complexity	All_elements	NA	NA	1	NA	46	0.2337

