Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R1	ET_2	2292	1	1	NA	603	0.94
###LINE/R1	All_elements	NA	1	1	NA	603	0.9443

######Type:LINE	All_elements	NA	1	1	NA	603	0.9443

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	603	0.9443

######Type:Low_complexity	All_elements	NA	NA	5	NA	197	0.3085

######Type:Simple_repeat	All_elements	NA	NA	13	NA	751	1.1761

