Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Ginger	ET_18	459	1	1	NA	459	1.53
###DNA/Ginger	All_elements	NA	1	1	NA	459	1.5274

######Type:DNA	All_elements	NA	1	1	NA	459	1.5274

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	459	1.5274

######Type:Low_complexity	All_elements	NA	NA	1	NA	45	0.1497

######Type:Simple_repeat	All_elements	NA	NA	2	NA	78	0.2596

