Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R1	ET_16	1608	1	0	NA	0	0.00
###LINE/R1	All_elements	NA	1	0	NA	0	0.0000

LINE/RTE	ET_39	1614	1	0	NA	0	0.00
LINE/RTE	ET_8	924	1	1	NA	880	63.31
###LINE/RTE	All_elements	NA	2	1	NA	880	63.3094

######Type:LINE	All_elements	NA	3	1	NA	880	63.3094

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	1	NA	880	63.3094

