Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	1	1	0	421	6.10
###LTR/Gypsy	All_elements	NA	1	1	0	421	6.0997

######Type:LTR	All_elements	NA	1	1	0	421	6.0997

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	421	6.0997

######Type:Low_complexity	All_elements	NA	NA	1	NA	41	0.5940

