Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R1	ET_26	542	1	1	NA	540	0.66
###LINE/R1	All_elements	NA	1	1	NA	540	0.6617

######Type:LINE	All_elements	NA	1	1	NA	540	0.6617

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	540	0.6617

######Type:Simple_repeat	All_elements	NA	NA	13	NA	633	0.7757

