Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/RTE	ET_12	1764	1	1	NA	1764	56.41
###LINE/RTE	All_elements	NA	1	1	NA	1764	56.4119

######Type:LINE	All_elements	NA	1	1	NA	1764	56.4119

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	1764	56.4119

######Type:Simple_repeat	All_elements	NA	NA	1	NA	59	1.8868

