Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/RTE	ET_20	1008	1	1	NA	158	3.97
###LINE/RTE	All_elements	NA	1	1	NA	158	3.9718

######Type:LINE	All_elements	NA	1	1	NA	158	3.9718

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	158	3.9718

######Type:Low_complexity	All_elements	NA	NA	1	NA	34	0.8547

######Type:Simple_repeat	All_elements	NA	NA	5	NA	197	4.9522

