Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/RTE	ET_10	1494	1	1	NA	830	17.69
###LINE/RTE	All_elements	NA	1	1	NA	830	17.6935

######Type:LINE	All_elements	NA	1	1	NA	830	17.6935

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	830	17.6935

######Type:Simple_repeat	All_elements	NA	NA	3	NA	103	2.1957

