Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	3	0	NA	0	0.00
###LINE/L1	All_elements	NA	3	0	NA	0	0.0000

######Type:LINE	All_elements	NA	3	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	5	NA	226	0.1885

######Type:Simple_repeat	All_elements	NA	NA	25	NA	1119	0.9331

