Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	82	0.45
###DNA/CACTA	All_elements	NA	1	1	NA	82	0.4542

DNA/TC1	ET_24	579	1	0	NA	0	0.00
###DNA/TC1	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	2	1	NA	82	0.4542

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	82	0.4542

######Type:Simple_repeat	All_elements	NA	NA	2	NA	118	0.6536

