Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_9	No_ref_available	1	1	0	2079	40.82
###LTR/Gypsy	All_elements	NA	1	1	0	2079	40.8207

######Type:LTR	All_elements	NA	1	1	0	2079	40.8207

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	2079	40.8207

######Type:Low_complexity	All_elements	NA	NA	3	NA	200	3.9270

######Type:Simple_repeat	All_elements	NA	NA	1	NA	23	0.4516

