Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	2	1	NA	319	1.48
###LINE/L1	All_elements	NA	2	1	NA	319	1.4795

######Type:LINE	All_elements	NA	2	1	NA	319	1.4795

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	319	1.4795

######Type:Simple_repeat	All_elements	NA	NA	4	NA	169	0.7838

