Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	1	0	NA	0	0.0000

DNA/Transposase	ET_22	318	3	3	NA	773	0.29
###DNA/Transposase	All_elements	NA	3	3	NA	773	0.2852

######Type:DNA	All_elements	NA	4	3	NA	773	0.2852

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

LINE/R1	ET_21	120	1	1	NA	120	0.04
###LINE/R1	All_elements	NA	1	1	NA	120	0.0443

######Type:LINE	All_elements	NA	2	1	NA	120	0.0443

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_51	327	3	3	NA	430	0.16
###Unknown	All_elements	NA	3	3	NA	430	0.1586

######Type:Unknown	All_elements	NA	3	3	NA	430	0.1586

#########Type:EVERYTHING_TE	All_elements	NA	9	7	NA	1323	0.4881

######Type:Low_complexity	All_elements	NA	NA	8	NA	367	0.1354

######Type:Simple_repeat	All_elements	NA	NA	64	NA	3024	1.1156

