Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	1	NA	849	6.74
###LINE/L1	All_elements	NA	1	1	NA	849	6.7445

######Type:LINE	All_elements	NA	1	1	NA	849	6.7445

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	849	6.7445

######Type:Low_complexity	All_elements	NA	NA	2	NA	68	0.5402

######Type:Simple_repeat	All_elements	NA	NA	10	NA	522	4.1468

