Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_11	No_ref_available	1	1	0	180	0.09
###LTR/Gypsy	All_elements	NA	1	1	0	180	0.0888

######Type:LTR	All_elements	NA	1	1	0	180	0.0888

Unknown	ET_48	339	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	1	NA	180	0.0888

######Type:Low_complexity	All_elements	NA	NA	11	NA	541	0.2668

######Type:Simple_repeat	All_elements	NA	NA	43	NA	2554	1.2595

