Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	0	NA	0	0.00
###DNA/CACTA	All_elements	NA	1	0	NA	0	0.0000

DNA/Transposase	ET_22	318	1	0	NA	0	0.00
###DNA/Transposase	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	2	0	NA	0	0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_53	291	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	8	NA	691	0.4587

######Type:Simple_repeat	All_elements	NA	NA	36	NA	1722	1.1432

