Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Transposase	ET_22	318	4	4	NA	987	0.34
###DNA/Transposase	All_elements	NA	4	4	NA	987	0.3442

######Type:DNA	All_elements	NA	4	4	NA	987	0.3442

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

LINE/R1	ET_26	542	2	1	NA	524	0.18
###LINE/R1	All_elements	NA	2	1	NA	524	0.1827

######Type:LINE	All_elements	NA	3	1	NA	524	0.1827

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	3	3	0	310	0.11
###LTR/Gypsy	All_elements	NA	3	3	0	310	0.1081

######Type:LTR	All_elements	NA	3	3	0	310	0.1081

Unknown	ET_51	327	4	4	NA	607	0.21
Unknown	ET_52	291	2	1	NA	90	0.03
###Unknown	All_elements	NA	6	5	NA	697	0.2431

######Type:Unknown	All_elements	NA	6	5	NA	697	0.2431

#########Type:EVERYTHING_TE	All_elements	NA	16	13	NA	2518	0.8781

######Type:Low_complexity	All_elements	NA	NA	10	NA	605	0.2110

######Type:Simple_repeat	All_elements	NA	NA	59	NA	3429	1.1958

