Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	609	1.32
###DNA/CACTA	All_elements	NA	1	1	NA	609	1.3191

######Type:DNA	All_elements	NA	1	1	NA	609	1.3191

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23	No_ref_available	1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	1	0	0	0	0.0000

######Type:LTR	All_elements	NA	1	0	0	0	0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	609	1.3191

######Type:Low_complexity	All_elements	NA	NA	4	NA	197	0.4267

######Type:Simple_repeat	All_elements	NA	NA	11	NA	433	0.9379

