Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	2	1	NA	103	0.62
###DNA/TC1	All_elements	NA	2	1	NA	103	0.6184

######Type:DNA	All_elements	NA	2	1	NA	103	0.6184

LINE/R1	ET_2	2292	2	0	NA	0	0.00
###LINE/R1	All_elements	NA	2	0	NA	0	0.0000

######Type:LINE	All_elements	NA	2	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	4	1	NA	103	0.6184

######Type:Low_complexity	All_elements	NA	NA	2	NA	137	0.8225

######Type:Simple_repeat	All_elements	NA	NA	3	NA	162	0.9726

