Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/R1	ET_2	2292	1	1	NA	617	0.94
###LINE/R1	All_elements	NA	1	1	NA	617	0.9414

######Type:LINE	All_elements	NA	1	1	NA	617	0.9414

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	617	0.9414

######Type:Low_complexity	All_elements	NA	NA	5	NA	246	0.3753

######Type:Simple_repeat	All_elements	NA	NA	35	NA	1815	2.7691

