Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	4	2	NA	2958	24.11
###LINE/L1	All_elements	NA	4	2	NA	2958	24.1135

######Type:LINE	All_elements	NA	4	2	NA	2958	24.1135

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	4	2	NA	2958	24.1135

######Type:Simple_repeat	All_elements	NA	NA	2	NA	234	1.9076

