Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	1	1	NA	94	0.05
###DNA/TC1	All_elements	NA	1	1	NA	94	0.0539

######Type:DNA	All_elements	NA	1	1	NA	94	0.0539

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_52	291	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	94	0.0539

######Type:Low_complexity	All_elements	NA	NA	13	NA	589	0.3377

######Type:Simple_repeat	All_elements	NA	NA	39	NA	2096	1.2016

