Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34		1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	1	0	0	0	0.0000

######Type:LTR	All_elements	NA	1	0	0	0	0.0000

Unknown	ET_52	291	1	1	NA	95	0.14
###Unknown	All_elements	NA	1	1	NA	95	0.1382

######Type:Unknown	All_elements	NA	1	1	NA	95	0.1382

#########Type:EVERYTHING_TE	All_elements	NA	3	1	NA	95	0.1382

######Type:Low_complexity	All_elements	NA	NA	2	NA	91	0.1324

######Type:Simple_repeat	All_elements	NA	NA	15	NA	710	1.0329

