Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Ginger	ET_18	459	1	0	NA	0	0.00
###DNA/Ginger	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	6	NA	335	0.4217

######Type:Simple_repeat	All_elements	NA	NA	16	NA	767	0.9655

