Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/RTE	ET_8	924	1	1	NA	133	1.91
###LINE/RTE	All_elements	NA	1	1	NA	133	1.9087

######Type:LINE	All_elements	NA	1	1	NA	133	1.9087

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	133	1.9087

######Type:Simple_repeat	All_elements	NA	NA	1	NA	60	0.8611

