Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Tc1	ET_1	1480	1	0	NA	0	0.00
###DNA/Tc1	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

LINE/L1	ET_5	129	1	1	NA	129	0.33
###LINE/L1	All_elements	NA	1	1	NA	129	0.3268

######Type:LINE	All_elements	NA	1	1	NA	129	0.3268

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	129	0.3268

######Type:Low_complexity	All_elements	NA	NA	1	NA	72	0.1824

######Type:Simple_repeat	All_elements	NA	NA	8	NA	505	1.2795

