Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	0	NA	0	0.00
LINE/L1	ET_6	126	2	1	NA	126	0.84
###LINE/L1	All_elements	NA	3	1	NA	126	0.8374

######Type:LINE	All_elements	NA	3	1	NA	126	0.8374

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_29	No_ref_available	1	0	0	0	0.00
LTR/Gypsy	ET_7	No_ref_available	1	1	0	264	1.75
###LTR/Gypsy	All_elements	NA	2	1	0	264	1.7545

######Type:LTR	All_elements	NA	2	1	0	264	1.7545

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	5	2	NA	390	2.5919

