Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	2	1	NA	914	1.10
###DNA/CACTA	All_elements	NA	2	1	NA	914	1.1029

######Type:DNA	All_elements	NA	2	1	NA	914	1.1029

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	914	1.1029

######Type:Low_complexity	All_elements	NA	NA	5	NA	1492	1.8003

######Type:Simple_repeat	All_elements	NA	NA	26	NA	1191	1.4371

