Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_52	291	2	0	NA	0	0.00
###Unknown	All_elements	NA	2	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	2	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	2	NA	83	0.0705

######Type:Simple_repeat	All_elements	NA	NA	22	NA	1036	0.8803

