Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	1	1	0	1420	1.41
###LTR/Gypsy	All_elements	NA	1	1	0	1420	1.4117

######Type:LTR	All_elements	NA	1	1	0	1420	1.4117

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	1420	1.4117

######Type:Low_complexity	All_elements	NA	NA	5	NA	233	0.2316

######Type:Simple_repeat	All_elements	NA	NA	24	NA	1351	1.3431

