Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Ginger	ET_18	459	1	0	NA	0	0.00
###DNA/Ginger	All_elements	NA	1	0	NA	0	0.0000

######Type:DNA	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_47	429	1	1	NA	429	0.38
Unknown	ET_49	429	1	1	NA	429	0.38
###Unknown	All_elements	NA	2	2	NA	858	0.7687

######Type:Unknown	All_elements	NA	2	2	NA	858	0.7687

#########Type:EVERYTHING_TE	All_elements	NA	3	2	NA	858	0.7687

######Type:Low_complexity	All_elements	NA	NA	6	NA	273	0.2446

######Type:Simple_repeat	All_elements	NA	NA	26	NA	1588	1.4227

