Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	2	0	NA	0	0.00
###DNA/TC1	All_elements	NA	2	0	NA	0	0.0000

DNA/Tc1	ET_17	318	2	2	NA	636	0.80
###DNA/Tc1	All_elements	NA	2	2	NA	636	0.8031

######Type:DNA	All_elements	NA	4	2	NA	636	0.8031

LINE/RTE	ET_8	924	1	1	NA	309	0.39
###LINE/RTE	All_elements	NA	1	1	NA	309	0.3902

######Type:LINE	All_elements	NA	1	1	NA	309	0.3902

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	5	3	NA	945	1.1932

######Type:Low_complexity	All_elements	NA	NA	4	NA	232	0.2929

######Type:Simple_repeat	All_elements	NA	NA	6	NA	250	0.3157

