Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/hAT	ET_25	425	1	1	NA	416	0.24
###DNA/hAT	All_elements	NA	1	1	NA	416	0.2399

######Type:DNA	All_elements	NA	1	1	NA	416	0.2399

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	416	0.2399

######Type:Low_complexity	All_elements	NA	NA	5	NA	212	0.1223

######Type:Simple_repeat	All_elements	NA	NA	35	NA	1706	0.9839

