Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	914	1.33
###DNA/CACTA	All_elements	NA	1	1	NA	914	1.3318

######Type:DNA	All_elements	NA	1	1	NA	914	1.3318

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	914	1.3318

######Type:Low_complexity	All_elements	NA	NA	3	NA	147	0.2142

######Type:Simple_repeat	All_elements	NA	NA	21	NA	1029	1.4993

