Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	1	1	0	87	0.43
###LTR/Gypsy	All_elements	NA	1	1	0	87	0.4263

######Type:LTR	All_elements	NA	1	1	0	87	0.4263

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	87	0.4263

######Type:Simple_repeat	All_elements	NA	NA	3	NA	147	0.7203

