Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	2	2	NA	488	0.56
###DNA/TC1	All_elements	NA	2	2	NA	488	0.5575

######Type:DNA	All_elements	NA	2	2	NA	488	0.5575

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_52	291	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	2	NA	488	0.5575

######Type:Low_complexity	All_elements	NA	NA	4	NA	196	0.2239

######Type:Simple_repeat	All_elements	NA	NA	17	NA	992	1.1333

