Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	1	NA	152	3.06
###LINE/L1	All_elements	NA	1	1	NA	152	3.0602

LINE/RTE	ET_10	1494	2	1	NA	1764	35.51
###LINE/RTE	All_elements	NA	2	1	NA	1764	35.5144

######Type:LINE	All_elements	NA	3	2	NA	1916	38.5746

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	2	NA	1916	38.5746

