Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	1	0	0	0	0.0000

######Type:LTR	All_elements	NA	1	0	0	0	0.0000

Unknown	ET_52	291	1	0	NA	0	0.00
###Unknown	All_elements	NA	1	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	1	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	0	NA	0	0.0000

######Type:Low_complexity	All_elements	NA	NA	5	NA	228	0.2400

######Type:Simple_repeat	All_elements	NA	NA	23	NA	1956	2.0587

