Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	289	0.26
###DNA/CACTA	All_elements	NA	1	1	NA	289	0.2647

######Type:DNA	All_elements	NA	1	1	NA	289	0.2647

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	289	0.2647

######Type:Low_complexity	All_elements	NA	NA	2	NA	122	0.1117

######Type:Simple_repeat	All_elements	NA	NA	27	NA	1320	1.2089

