Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	1	NA	152	1.99
###LINE/L1	All_elements	NA	1	1	NA	152	1.9893

######Type:LINE	All_elements	NA	1	1	NA	152	1.9893

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	152	1.9893

######Type:Low_complexity	All_elements	NA	NA	1	NA	34	0.4450

