Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_34	No_ref_available	1	1	0	112	0.11
###LTR/Gypsy	All_elements	NA	1	1	0	112	0.1146

######Type:LTR	All_elements	NA	1	1	0	112	0.1146

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	1	NA	112	0.1146

######Type:Low_complexity	All_elements	NA	NA	3	NA	200	0.2046

######Type:Simple_repeat	All_elements	NA	NA	19	NA	945	0.9667

