Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/TC1	ET_24	579	1	1	NA	191	0.31
###DNA/TC1	All_elements	NA	1	1	NA	191	0.3091

######Type:DNA	All_elements	NA	1	1	NA	191	0.3091

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	191	0.3091

######Type:Low_complexity	All_elements	NA	NA	1	NA	35	0.0566

######Type:Simple_repeat	All_elements	NA	NA	16	NA	1004	1.6248

