Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/CACTA	ET_3	6235	1	1	NA	105	0.05
###DNA/CACTA	All_elements	NA	1	1	NA	105	0.0511

######Type:DNA	All_elements	NA	1	1	NA	105	0.0511

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

######Type:LINE	All_elements	NA	1	0	NA	0	0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Gypsy	ET_23	No_ref_available	1	0	0	0	0.00
###LTR/Gypsy	All_elements	NA	1	0	0	0	0.0000

######Type:LTR	All_elements	NA	1	0	0	0	0.0000

Unknown	ET_48	339	2	1	NA	319	0.16
Unknown	ET_52	291	3	0	NA	0	0.00
###Unknown	All_elements	NA	5	1	NA	319	0.1554

######Type:Unknown	All_elements	NA	5	1	NA	319	0.1554

#########Type:EVERYTHING_TE	All_elements	NA	8	2	NA	424	0.2065

######Type:Low_complexity	All_elements	NA	NA	9	NA	535	0.2606

######Type:Simple_repeat	All_elements	NA	NA	41	NA	2825	1.3758

