Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

LINE/RTE	ET_10	1494	1	1	NA	224	2.12
LINE/RTE	ET_12	1764	1	1	NA	602	5.71
###LINE/RTE	All_elements	NA	2	2	NA	826	7.8324

######Type:LINE	All_elements	NA	3	2	NA	826	7.8324

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	3	2	NA	826	7.8324

######Type:Low_complexity	All_elements	NA	NA	1	NA	86	0.8155

######Type:Simple_repeat	All_elements	NA	NA	2	NA	83	0.7870

