Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
######Type:DNA	All_elements	NA			NA		0.0000

LINE/L1	ET_4	2098	1	1	NA	387	3.14
###LINE/L1	All_elements	NA	1	1	NA	387	3.1417

######Type:LINE	All_elements	NA	1	1	NA	387	3.1417

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	387	3.1417

######Type:Simple_repeat	All_elements	NA	NA	2	NA	148	1.2015

