Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Transposase	ET_22	318	2	0	NA	0	0.00
###DNA/Transposase	All_elements	NA	2	0	NA	0	0.0000

######Type:DNA	All_elements	NA	2	0	NA	0	0.0000

LINE/L1	ET_4	2098	1	0	NA	0	0.00
###LINE/L1	All_elements	NA	1	0	NA	0	0.0000

LINE/R1	ET_21	120	1	1	NA	120	0.06
###LINE/R1	All_elements	NA	1	1	NA	120	0.0603

######Type:LINE	All_elements	NA	2	1	NA	120	0.0603

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

Unknown	ET_51	327	4	0	NA	0	0.00
###Unknown	All_elements	NA	4	0	NA	0	0.0000

######Type:Unknown	All_elements	NA	4	0	NA	0	0.0000

#########Type:EVERYTHING_TE	All_elements	NA	8	1	NA	120	0.0603

######Type:Low_complexity	All_elements	NA	NA	12	NA	665	0.3342

######Type:Simple_repeat	All_elements	NA	NA	47	NA	2552	1.2826

